ID,Compound name,SMILES,CAS
28,citronellol,C(CC/C=C(/C)C)(CCO)C,106-22-9
29,linalyl acetate,C([C@@](OC(C)=O)(C=C)C)C\C=C(\C)C,115-95-7
30,carvone,CC(=C)C1CC=C(C)C(=O)C1,99-49-0
31,fenchone,C1C[C@@]2(C)C(C([C@H]1C2)(C)C)=O,7787-20-4
32,alpha-terpinyl acetate,O=C(OC([C@H]1CCC(=CC1)C)(C)C)C,58206-95-4
33,piperitenone,C1(=C(\C)C)\C(=O)C=C(CC1)C,491-09-8
34,myrtenol,C1(C)([C@@H]2C[C@H]1C(=CC2)CO)C,19894-97-4
35,trans-sabinene hydrate,CC(C)C12CCC(C1C2)(C)O,
36,pinocarvone,CC1(C2CC1C(=C)C(=O)C2)C,30460-92-5
37,menthofuran,Cc1coc2c1CC[C@@H](C2)C,80183-38-6
38,myrtenal,CC1([C@@H]2CC=C([C@H]1C2)C=O)C,23727-16-4
39,cis-carveol,CC(=C)[C@@H]1CC=C(C)[C@H](O)C1,2102-59-2
40,nerol,C(=C\CO)(\CC/C=C(/C)C)C,106-25-2
41,isoborneol,CC1(C)[C@@H]2CC[C@@]1(C)[C@H](O)C2,124-76-5
42,verbenone,C1([C@H]2C(=CC(=O)[C@@H]1C2)C)(C)C,18309-32-5
43,tricyclene,C12([C@@H]3CC(C2(C)C)C[C@@H]13)C,508-32-7
44,citronellyl acetate,C([C@@H](CCOC(C)=O)C)C\C=C(/C)C,150-84-5
45,thymoquinone,C=1(C(C=C(C)C(C1)=O)=O)C(C)C,490-91-5
46,trans-carveol,CC(=C)[C@H]1CC=C(C)[C@H](O)C1,18383-51-2
47,geranyl acetone,C(\CC\C=C(/C)C)(=C\CCC(C)=O)C,3796-70-1
48,trans-beta-ocimene,C(=C\C\C=C(\C)C)(\C=C)C,3779-61-1
49,citronellyl formate,C([C@@H](CCOC=O)C)C\C=C(\C)C,105-85-1
50,delta-terpineol,CC(C)(C1CCC(=C)CC1)O,7299-42-5
51,ascaridole,CC(C)[C@@]12CC[C@@](C)(OO1)C=C2,1354425-86-7
52,beta-ocimene,C(=C\C\C=C(\C)C)(\C=C)C,13877-91-3
53,alpha-terpinolene,CC1=CCC(=C(C)C)CC1,586-62-9
54,cis-pinocarveol,CC1([C@@H]2C[C@H]1C(=C)[C@@H](C2)O)C,6712-79-4
55,cis-piperitol,O[C@H]1C=C(CC[C@H]1C(C)C)C,16721-38-3
56,trans-piperitol,O[C@H]1C=C(CC[C@@H]1C(C)C)C,16721-39-4
57,cis-beta-ocimene,C(=C/C\C=C(\C)C)(\C=C)C,3338-55-4
58,4-terpineol,CC1=CCC(CC1)(C(C)C)O,562-74-3
59,beta-terpineol,COc1cc(cc(c1O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)OC)/C=C/CO,118-34-3
60,cis-limonene oxide,CC(=C)[C@@H]1CC[C@@]2([C@H](C1)O2)C,4680-24-4
61,pinocarveol,C12C(=C)C(CC(C1(C)C)C2)O,5947-36-4
62,hotrienol,CC(=C)/C=C/C[C@](C)(C=C)O,20053-88-7
63,trans-limonene oxide,CC(=C)[C@H]1CC[C@@]2([C@H](C1)O2)C,42477-94-1
64,(-)-alpha-pinene,CC1=CCC2CC1C2(C)C,7785-26-4
65,trans-beta-terpineol,CC(=C)[C@H]1CC[C@](CC1)(O)C,7299-41-4
66,(-)-beta-pinene,CC1(C2CCC(=C)C1C2)C,18172-67-3
67,(+)-alpha-pinene,CC1=CCC2CC1C2(C)C,7785-70-8
68,2-carene,CC1=C[C@@H]2[C@H](CC1)C2(C)C,65878-59-3
69,cis-beta-terpineol,CC(=C)[C@H]1CC[C@@](CC1)(O)C,7299-40-3
70,sabinene hydrate,CC(C)C12CCC(C1C2)(C)O,546-79-2
71,(+)-limonene,C([C@@H]1CCC(C)=CC1)(C)=C,5989-27-5
72,piperitol,C1[C@@H]([C@@H](C=C(C)C1)O)C(C)C,491-04-3
73,carveol,CC1=CCC(CC1O)C(=C)C,99-48-9
74,(-)-limonene,CC1=CCC(CC1)C(=C)C,5989-54-8
75,fenchol,C1[C@@]2([C@@H](C(C)(C)[C@@H]1CC2)O)C,1632-73-1
76,(+)-linalool,CC(=CCCC(C)(C=C)O)C,126-90-9
77,alpha-ocimene,C(CC\C=C(\C=C)C)(=C)C,502-99-8
78,diosphenol,C1(C(=C(C)CC[C@@H]1C(C)C)O)=O,490-03-9
79,sabinol,CC(C)[C@]12C[C@@H](O)C(=C)[C@H]1C2,471-16-9
80,limonene oxide,O1[C@@]2(CC[C@@H](C(=C)C)C[C@@H]12)C,1195-92-2
81,(e)-beta-terpineol,CC(=C)C1CCC(CC1)(C)O,138-87-4
82,perillic acid,C1(C(O)=O)=CC[C@@H](C(=C)C)CC1,7694-45-3
83,(+)-alpha-thujene,CC1=CCC2(C1C2)C(C)C,
84,(-)-linalool,CC(=CCCC(C)(C=C)O)C,126-91-0
85,(-)-alpha-thujene,CC1=CCC2([C@H]1C2)C(C)C,3917-48-4
86,(z)-alpha-ocimene,CC(=C)CCC=C(C)C=C,6874-44-8
87,gamma-terpinyl acetate,O=C(OC1(CC\C(=C(/C)C)CC1)C)C,10235-63-9
88,cuminaldehyde,CC(C)c1ccc(cc1)C=O,122-03-2
89,(+)-beta-pinene,CC1(C2CCC(=C)C1C2)C,19902-08-0
90,alpha-cadinene,CC(C)[C@@H]1CC=C(C)[C@@H]2CCC(=C[C@@H]12)C,24406-05-1
91,alpha-cadinol,C1C[C@@](C)(O)[C@@H]2CCC(=C[C@@H]2[C@@H]1C(C)C)C,481-34-5
92,germacrene d,CC(C)[C@@H]1CC\C(=C\CCC(=C)\C=C\1)\C,23986-74-5
93,caryophyllene oxide,C[C@@]12CC[C@@H]3[C@H](CC3(C)C)C(=C)CC[C@H]1O2,1139-30-6
94,bicyclogermacrene,C=1([C@@H]2[C@@H](CC(=CC2)C)CC(CC1)(C)C)C,24703-35-3
95,alpha-humulene,CC1=CCC(C=CCC(=CCC1)C)(C)C,6753-98-6
96,beta-elemene,CC(=C)[C@@H]1CC[C@@](C)(C=C)[C@@H](C1)C(=C)C,515-13-9
97,beta-bisabolene,CC(=CCCC(=C)[C@H]1CCC(=CC1)C)C,495-61-4
98,alpha-copaene,CC1=CC[C@@H]2[C@@H]3[C@H]1[C@]2(CC[C@@H]3C(C)C)C,15493-66-0
99,beta-cubebene,C1([C@@H]2[C@@]3(CC1)[C@@H](CC[C@H]([C@@H]23)C(C)C)C)=C,13744-15-5
100,beta-selinene,C1[C@H]2[C@@](CC[C@@H]1C(C)=C)(CCCC2=C)C,17066-67-0
101,(e)-beta-farnesene,C(C=C)(CC\C=C(\CC\C=C(\C)C)C)=C,18794-84-8
102,germacrene b,C1(=CCCC(=CC\C(CC1)=C(\C)C)C)C,15423-57-1
103,aromadendrene,C1C[C@@H]([C@@H]2[C@@H]3[C@@H](CCC([C@@H]12)=C)C3(C)C)C,14682-34-9
104,chamazulene,c12c(ccc2C)c(ccc(c1)CC)C,529-05-5
105,allo-aromadendrene,CC1CCC2C1C3C(C3(C)C)CCC2=C,
106,beta-bourbonene,C1C([C@@H]2[C@H]3[C@H](C(C)C)CC[C@@]3([C@H]2C1)C)=C,5208-59-3
107,guaiol,C[C@H]1CC[C@H](CC2=C1CC[C@@H]2C)C(C)(C)O,489-86-1
108,gamma-elemene,CC(=C1CCC(C(C1)C(=C)C)(C)C=C)C,30824-67-0
109,beta-himachalene,C=12[C@@H](C(CCCC1C)(C)C)C=C(C)CC2,1461-03-6
110,humulene epoxide ii,CC1=CCC(C=CCC2(C(O2)CC1)C)(C)C,19888-34-7
111,alpha-gurjunene,C1[C@@H](C)[C@H]2CCC(=C2[C@@H]2[C@@H](C1)C2(C)C)C,489-40-7
112,(z)-beta-farnesene,CC(=CCC/C(=C\CCC(=C)C=C)/C)C,28973-97-9
113,alpha-santalol,C\C(=C\CC[C@]1(C)C2C[C@@H]3[C@H](C2)C13C)\CO,115-71-9
114,(e;e)-alpha-farnesene,CC(=CCCC(=CCC=C(C)C=C)C)C,502-61-4
115,beta-gurjunene,C[C@@H]1CC[C@@H]2[C@@H](C2(C)C)[C@H]3[C@@H]1CCC3=C,73464-47-8
116,isocaryophyllene,C=1(CC[C@@H]2[C@@H](C(CCC1)=C)CC2(C)C)C,118-65-0
117,alpha-cadinene,CC1=CC2C(CC1)C(=CCC2C(C)C)C,24406-05-1
118,carotol,CC(C)[C@H]1CC[C@]2(C)CC=C(C)CC[C@]12O,465-28-1
119,alpha-bergamotene,C(\C)(=C\CC[C@@]1([C@@H]2C(=CC[C@@H]1C2)C)C)C,17699-05-7
120,alpha-guaiene,C12=C([C@@H](CC[C@@H](C(=C)C)C1)C)CC[C@@H]2C,
121,cedrol,C[C@@H]1CC[C@H]2C(C)(C)[C@H]3C[C@@]12CC[C@@]3(C)O,77-53-2
122,beta-copaene,C1C[C@H]([C@@H]2[C@H]3C(CC[C@@H]2[C@@]13C)=C)C(C)C,18252-44-3
123,beta-farnesene,C(C=C)(CC\C=C(\CC\C=C(\C)C)C)=C,
124,alpha-farnesene,C(=C\C/C=C(/C=C)C)(/CC/C=C(\C)C)C,
125,delta-selinene,CC1=C2C=C(CCC2(CCC1)C)C(C)C,
126,beta-santalol,C/C(=C/CC[C@@]1([C@H]2CC[C@H](C2)C1=C)C)/CO,77-42-9
127,ylangene,CC(C)[C@@H]1CC[C@@]2(C)[C@@H]3CC=C(C)[C@H]2[C@H]13,14912-44-8
128,cadalene,c12c(c(ccc1C(C)C)C)ccc(c2)C,483-78-3
129,longifolene,CC1(C)CCC[C@@]2(C)[C@@H]3CC[C@@H]([C@H]13)C2=C,475-20-7
130,ledene,C[C@@H]1CCC2=C(C)CC[C@@H]3[C@H]([C@H]12)C3(C)C,21747-46-6
131,alpha-bisabolene,C1(=CCC(/C(=C/C/C=C(\C)C)C)CC1)C,17627-44-0
132,beta-cadinene,C1[C@@H]2[C@H](C(=CC[C@H]2C(C)C)C)CC=C1C,523-47-7
133,farnesol,C(=C\CC\C(=C\CO)C)(\CC\C=C(\C)C)C,4602-84-0
134,cuparene,c1cc(ccc1C)[C@@]1(CCCC1(C)C)C,16982-00-6
135,alpha-curcumene,c1cc(ccc1C)[C@@H](C)CC\C=C(\C)C,644-30-4
136,(e)-gamma-bisabolene,CC1=CC/C(=C(\C)/CCC=C(C)C)/CC1,
137,(z;e)-alpha-farnesene,CC(=CCC/C(=C/C/C=C(/C)\C=C)/C)C,53585-13-0
138,valerenal,C(\C(=C\[C@H]1C2=C(CC[C@@H]2[C@@H](CC1)C)C)C)=O,4176-16-3
139,(z)-gamma-bisabolene,CC1=CC/C(=C(/C)\CCC=C(C)C)/CC1,13062-00-5
140,humulene,C1(CC=C(CCC=C(CC=C1)C)C)(C)C,6753-98-6
141,beta-farnesene,C(C=C)(CC\C=C(\CC\C=C(\C)C)C)=C,
142,cis-beta-farnesene,CC(=CCC/C(=C\CCC(=C)C=C)/C)C,28973-97-9
143,bisabolol,C1[C@@H]([C@@](CC\C=C(/C)C)(C)O)CC=C(C1)C,515-69-5
144,alloaromadendrene,C1([C@@H]2[C@@H]1CCC([C@@H]1[C@@H]2[C@@H](CC1)C)=C)(C)C,25246-27-9
145,himachalene,C=12[C@@H](C(CCCC1C)(C)C)C=C(C)CC2,
146,gamma-bisabolene,C1(=C(\CC\C=C(\C)C)C)\CCC(C)=CC1,
147,alpha-bisabolol,C1[C@@H]([C@@](CC\C=C(/C)C)(C)O)CC=C(C1)C,
148,bisabolene,C1(=C(\CC\C=C(\C)C)C)\CCC(C)=CC1,495-62-5
149,(z;z)-alpha-farnesene,CC(=CCC/C(=C\C/C=C(/C)\C=C)/C)C,28973-99-1
150,nootkatone,C1C(=O)C=C2CC[C@@H](C[C@@]2([C@@H]1C)C)C(C)=C,91416-23-8
151,amorpha-4;11-diene,C[C@@H]1CC[C@H]([C@@H]2[C@H]1CCC(=C2)C)C(=C)C,92692-39-2
152,copaene,CC(C)[C@@H]1CC[C@@]2(C)[C@H]3CC=C(C)C2[C@@H]13,3856-25-5
153,aristolochene,C1[C@H]([C@@]2(C[C@@H](CC=C2CC1)C(=C)C)C)C,26620-71-3
154,cis-gamma-bisabolene,CC1=CC/C(=C(/C)\CCC=C(C)C)/CC1,13062-00-5
155,epi-cedrol,CC1CCC2C13CCC(C(C3)C2(C)C)(C)O,
156,valerenic acid,C(\C(=C\[C@H]1C2=C(CC[C@@H]2[C@@H](CC1)C)C)C)(=O)O,
157,cyperene,C[C@@H]1CC[C@@H]2CC3=C(C)CC[C@]13C2(C)C,2387-78-2
158,farnesene (unknown isomer),CC(=CCCC(=CCC=C(C)C=C)C)C,
159,guaiazulene,c12c(c(ccc(c1)C(C)C)C)ccc2C,489-84-9
160,germacrene A,C/C/1=C\CC/C(=C/C[C@@H](CC1)C(=C)C)/C,
161,germacrene B,C/C/1=C\CC/C(=C/CC(=C(C)C)CC1)/C,
162,germacrene C,C/C/1=C\CC/C(=C/C=C(\CC1)/C(C)C)/C,
163,germacrene E,CC\1CC/C=C(/CCC(/C=C1)C(=C)C)\C,
164,germacrene,C/C/1=C\CC/C(=C/C[C@H](CC1)C(C)C)/C,
165,sibirene,CC(C)C1=CC2C(=C)CCCC2(CC1)C,
166,alpha-aromadendrene,CC1CCC2C1C3C(C3(C)C)CCC2=C,
167,alpha-santonin,C[C@H]1[C@@H]2CC[C@@]3(C)C=CC(=O)C(=C3[C@H]2OC1=O)C,481-06-1
168,beta-elemenone,CC(=C1CC(C(CC1=O)(C)C=C)C(=C)C)C,
169,trans-alpha-bisabolene,CC1=CCC(CC1)C(=CCC=C(C)C)C,
170,beta-sesquiphellandrene,CC(CCC=C(C)C)C1CCC(=C)C=C1,
171,spathulenol,C1([C@@H]2CCC([C@@H]3CC[C@]([C@@H]3[C@H]12)(C)O)=C)(C)C,6750-60-3
172,viridiflorol,C[C@@H]1CC[C@H]2[C@@H]1[C@H]3[C@@H](CC[C@]2(C)O)C3(C)C,552-02-3
173,(e)-nerolidol,C([C@@](O)(CC\C=C(\CC\C=C(/C)C)C)C)=C,40716-66-3
174,alpha-cadinol,CC1=C[C@H]2[C@@H](CC[C@@]([C@@H]2CC1)(C)O)C(C),
175,globulol,C[C@@H]1CC[C@@H]2[C@@H]1[C@H]3[C@H](C3(C)C)CC[C@@]2(C)O,489-41-8
176,gamma-eudesmol,CC1=C2C[C@@H](CC[C@]2(CCC1)C)C(C)(C)O,1209-71-8
177,germacrene d-4-ol,CC1=CCCC(C=CC(CC1)C(C)C)(C)O,
178,ledol,C[C@H]1CC[C@@H]2[C@H]1[C@@H]3[C@H](CC[C@]2(C)O)C3(C)C,577-27-5
179,1-epi-cubenol,CC1CCC(C2C1(CCC(=C2)C)O)C(C)C,
180,nerolidol,CC(=CCC/C(=C/CCC(C)(C=C)O)/C)C,7212-44-4
181,(z)-nerolidol,CC(=CCC\C(=C/CC[C@](C)(O)C=C)\C)C,142-50-7
182,t-cadinol,C1[C@@]([C@@H]2CCC(=C[C@H]2[C@@H](C1)C(C)C)C)(O)C,
183,t-muurolol,CC1=C[C@H]2[C@@H](CC[C@]([C@H]2CC1)(C)O)C(C)C,19912-62-0
184,10-epi-alpha-cadinol,CC1=CC2C(CCC(C2CC1)(C)O)C(C)C,
185,trans-nerolidol,C([C@@](O)(CC\C=C(\CC\C=C(/C)C)C)C)=C,40716-66-3
186,cis-nerolidol,CC(=CCC\C(=C/CC[C@](C)(O)C=C)\C)C,142-50-7
187,beta-amyrin,C1=2[C@@]([C@@]3([C@@H]([C@@]4(CC[C@@H](C([C@@H]4CC3)(C)C)O)C)CC2)C)(CC[C@@]2(CCC(C[C@@H]12)(C)C)C)C,559-70-6
