'CAM (cloranfenicol)' c1cc(ccc1[C@H]([C@@H](CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-] 56-75-7 0  
'2,4 DEP' C1=CC(=C(C=C1Cl)Cl)OCCOP(OCCOC2=C(C=C(C=C2)Cl)Cl)OCCOC3=C(C=C(C=C3)Cl)Cl 94-84-8 0  
Acetoxycycloheximidine CC(=O)C[C@]2(C)C[C@H](C)C(=O)[C@H]([C@H](O)CC1CC(=O)NC(=O)C1)C2  0  
Holacanthone C1(=O)C[C@@H]([C@@H]2[C@@]([C@@H]1O)(C)[C@@H]1[C@]34[C@@H]([C@H]([C@H]([C@@]1(O)OC4)O)C)[C@@H](OC(C)=O)C(=O)O[C@H]3C2)C 77648-51-2 0  
'Irisquinone A' C1(OC)=CC(=O)C=C(CCCCCCCCC\C=C/CCCCCC)C1=O 56495-82-0 0  
LSD c12c3C4=C[C@H](CN([C@@H]4Cc1c[nH]c2ccc3)C)C(=O)N(CC)CC 50-37-3 0  
Marcaine CCCCN1CCCCC1C(=O)Nc2c(cccc2C)C  0  
Medorubicin C[C@@H]1O[C@H](C[C@H](N)[C@@H]1O)O[C@H]2C[C@@](O)(Cc3c(O)c4C(=O)c5ccccc5C(=O)c4c(O)c23)C(=O)CO 64314-52-9 0  
Methopterine C(N[C@@H](CCC(=O)O)C(O)=O)(c1ccc(N(Cc2nc3c(nc(nc3=O)N)[nH]c2)C)cc1)=O 2410-93-7 0  
Methotrexate CN(Cc1cnc2c(n1)c(nc(n2)N)N)c3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O 59-05-2 0  
Nonasulfan O(S(C)(=O)=O)CCCCCCCCCOS(C)(=O)=O 4248-77-5 0  
Pentapiperide CCC(C)C(C1=CC=CC=C1)C(=O)OC2CCN(CC2)C 7009-54-3 0  
Phenadoxone CCC(=O)C(CC(C)N1CCOCC1)(C2=CC=CC=C2)C3=CC=CC=C3 467-84-5 0  
Phenamet CCOC(=O)[C@H](CCSC)NC(=O)Cc1ccc(cc1)N(CCCl)CCCl 3819-34-9 0  
Prochlorperazine CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl 58-38-8 0  
'Magestrol Acetate' CC1=C[C@@H]2[C@H](CC[C@]3([C@H]2CC[C@@]3(C(=O)C)OC(=O)C)C)[C@@]4(C1=CC(=O)CC4)C 595-33-5 0  
MCN-2840-46 CCOC1=C(C=C(C=C1)C(CN=C2CCCN2C)OC)OCC 34866-51-8 0  
Meclizine CC1=CC(=CC=C1)CN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=C(C=C4)Cl 569-65-3 0  
Mepenzolate C[N+]1(CCCC(C1)OC(=O)C(C2=CC=CC=C2)(C3=CC=CC=C3)O)C 25990-43-6 0  
Mesyldegranol CS(=O)(=O)CC(=O)n3c1ccccc1ccc2ccccc23  0  
Methasquin CC1=C(C=CC2=C1C(=NC(=N2)N)N)CNC3=CC=C(C=C3)C(=O)NC(CC(=O)O)C(=O)O 18921-70-5 0  
Mitopodozide CCNNC(=O)[C@H]1[C@@H]([C@H](c2cc3c(cc2[C@H]1c4cc(c(c(c4)OC)OC)OC)OCO3)O)CO 1508-45-8 0  
Mitoxantrone C1=CC(=C2C(=C1NCCNCCO)C(=O)C3=C(C=CC(=C3C2=O)O)O)NCCNCCO 65271-80-9 0  
Nicosin c1cc(cnc1)C(=O)N 98-92-0 0  
Osayin CC(=CCc1c(c2c(=O)c(coc2c3c1OC(C=C3)(C)C)c4ccc(cc4)O)O)C 482-53-1 0  
Pentaquine CC(C)NCCCCCNC1=C2C(=CC(=C1)OC)C=CC=N2 86-78-2 0  
'Phenazine, 5-oxide' c12c(n(c3ccccc3n1)=O)cccc2 304-81-4 0  
Phenaline CN(C)CCC(c1ccc(Cl)cc1)c2ccccn2  0  
Pipazethate C1CCN(CC1)CCOCCOC(=O)N2C3=CC=CC=C3SC4=C2N=CC=C4 2167-85-3 0  
Thiphenamil CCN(CC)CCSC(=O)C(C1=CC=CC=C1)C2=CC=CC=C2 82-99-5 0  
Tiodazosin COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4=NN=C(O4)SC)N)OC 66969-81-1 0  
Toromycin c12c3c(c4c(cc(C=C)cc4OC)c(o3)=O)cc(c2c(O)ccc1[C@@H]1[C@@H]([C@H]([C@@H](O)[C@H](O1)C)O)O)OC 77879-90-4 0  
'TR 35' C(\c1ccccc1)=N\Nc1nc(nc(n1)C(C)(C)C)N1CCNCC1 58892-44-7 0  
'Trestolone acetate' C[C@@H]1CC2=CC(=O)CC[C@@H]2[C@H]3CC[C@]4(C)[C@H](CC[C@H]4[C@H]13)OC(=O)C 6157-87-5 0  
Triazinate CC1(N=C(N=C(N1C2=CC(=C(C=C2)OCC3=CC=CC(=C3)C(=O)N(C)C)Cl)N)N)C 41191-04-2 0  
Trifluoperazine CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F 117-89-5 0  
Trimethobenzamide CN(C)CCOC1=CC=C(C=C1)CNC(=O)C2=CC(=C(C(=C2)OC)OC)OC 138-56-7 0  
Trimetrexate CC1=C(C=CC2=C1C(=NC(=N2)N)N)CNC3=CC(=C(C(=C3)OC)OC)OC 52128-35-5 0  
Spergualin C(CCNC(=N)N)C[C@@H](CC(=O)N[C@H](C(=O)NCCCCNCCCN)O)O 80902-43-8 0  
Spirazidine C1C[N+]2(CCN1CCCl)CC[N+]3(CCN(CC3)CCCl)CC2.[Cl-].[Cl-] 1158-80-1 0  
Spirogermanium CC[Ge]1(CCC2(CCN(C2)CCCN(C)C)CC1)CC 41992-23-8 0  
Sulfinpyrazone C1=CC=C(C=C1)N2C(=O)C(C(=O)N2C3=CC=CC=C3)CCS(=O)C4=CC=CC=C4 57-96-5 0  
Ketotrexate Nc1nc(c2N([C@@H](CNc2[nH]1)CCNc1ccc(cc1)C(N[C@@H](CCC(O)=O)C(O)=O)=O)C)=O 52196-22-2 0  
Lofenal C([C@@H](NC(=O)Cc1ccc(cc1)N(CCCl)CCCl)Cc1ccccc1)(=O)O 10047-08-2 0  
Lomenin CSCC[C@H](NC(=O)Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O  0  
M-83 CO[C@]12[C@H]3N[C@H]3CN1C4=C([C@H]2COC(=O)N)C(=O)C(=C(C)C4=O)Nc5ccc(O)cc5 70343-57-6 0  
Sibiromycin C/C=C/C1=CN2[C@@H](C1)[C@H](Nc3c(cc(c(c3O)C)O[C@H]4[C@@H]([C@]([C@H]([C@@H](O4)C)NC)(C)O)O)C2=O)O 12684-33-2 0  
Isopropylkyanid C(C#N)(C)C 78-82-0 0  
V-100 Oc1nc(O)c3c(n1)Oc2nc(O)nc(O)c2C3c4ccccc4  0  
Votracon C(c1ccc(cc1)N)(=O)N(C)[C@@H]1C[N@@](CC1)C1CCCCC1  0  
Prospidium C1C[N+]2(CCN1CC(CCl)O)CC[N+]3(CCN(CC3)CC(CCl)O)CC2 27115-14-6 0  
QFI COc4ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc1ccc(OCP(=O)(O)O)cc1)NC(=O)C[C@H]2CO[C@H]3OCC[C@@H]23)cc4  0  
Rexamid c1c(cccc1O)O 108-46-3 0  1,3-Benzenediol
TABAC C(c1c(c(c(cc1I)I)NC(=O)C)I)(=O)OCCOC(=O)NC1CCCCC1 78969-69-4 0  
'Valethamate Br' CCC(C)C(C1=CC=CC=C1)C(=O)OCC[N+](C)(CC)CC.[Br-] 90-22-2 0  
Diampromide CCC(=O)N(CC(C)N(C)CCC1=CC=CC=C1)C2=CC=CC=C2 552-25-0 0  
Doxapram CCN1CC(C(C1=O)(C2=CC=CC=C2)C3=CC=CC=C3)CCN4CCOCC4 309-29-5 0  
Phentyrin C1=CC(=CC=C1CC(C(=O)O)N)OC2=CC=C(C=C2)N(CCCl)CCCl 857-95-4 0  
Fluoraquin c1cc2c(cc(c(c2nc1)O)I)I 83-73-8 0  Iodoquinol
GEA-6414 c1ccc(c(c1Nc1ccccc1C(=O)O)C)Cl 13710-19-5 0  'Tolfenamic acid'
Promicil CC(CN(CC(C)Cl)C1=CC=C(C=C1)CC(=O)NC2=CC=C(C=C2)C(=O)O)Cl 32656-65-8 0  
Cyclomethycaine CC1CCCCN1CCCOC(=O)C2=CC=C(C=C2)OC3CCCCC3 139-62-8 0  
Lasalocid CC[C@H]([C@@H]1[C@H](C[C@@](O1)(CC)[C@H]2CC[C@@]([C@@H](O2)C)(CC)O)C)C(=O)[C@@H](C)[C@H]([C@H](C)CCc3ccc(c(c3C(=O)O)O)C)O 25999-31-9 1 'Eimeria tenella' 
Artemisinin O=C3O[C@@H]4O[C@@]1(OO[C@@]42[C@@H](CC1)[C@H](C)CC[C@H]2[C@H]3C)C '
63968-64-9' 1 'Eimeria tenella' 
carvacrol CC1=C(C=C(C=C1)C(C)C)O 499-75-2 1 'Eimeria spp' 
thymol CC1=CC(=C(C=C1)C(C)C)O 89-83-8 1 'Eimeria spp' 
isopulegol C[C@@H]1CC[C@H]([C@@H](C1)O)C(=C)C  1 'Eimeria spp' 
eugenol COc1cc(CC=C)ccc1O 97-53-0 1 'Eimeria spp' 
carvone CC(=C)C1CC=C(C)C(=O)C1 99-49-0 1 'Eimeria spp' 
Allicin C=CC[S@@](SCC=C)=O 539-86-6 1 'E. tenella' 
Berberine 'O1c2c(OC1)cc5c(c2)c4cc3ccc(OC)c(OC)c3c[n+]4CC5
' 2086-83-1 1 'E. tenella' 
'N-3 fatty acids Eicosapentaenoic acid' O=C(O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC 10417-94-4 1  
'N-3 fatty acids docosahexaenoic acid' O=C(O)CC\C=C/C/C=C\C\C=C/C\C=C/C\C=C/C\C=C/CC 6217-54-5 1  
'N-3 fatty acids linolenic acid ' CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O 463-40-1 1 'E. tenella' 
Saponin* C[C@]1(CCC23COC4([C@H]2C1)CC[C@@H]5[C@]6(CC[C@@H](C(C6CC[C@]5([C@@]4(C[C@H]3O)C)C)(C)C)O[C@H]7[C@@H]([C@H]([C@H](CO7)O[C@H]8[C@@H]([C@H]([C@@H](CO8)O)O)O)O[C@@H]9[C@@H]([C@H]([C@@H]([C@H](O9)CO)O)O)O)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O[C@@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)C)C=O 8047-15-2 1 'E. tenella' 
'Curcumin (diferuloylmethane)' 'COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC(=C(C=C2)O)OC)O

' 458-37-7 1 'E. tenella and E.maxima' 
'Maslinic acid' CC1(C)[C@@H](O)[C@H](O)C[C@@]2(C)[C@]([H])1CC[C@]3(C)[C@@]([H])2CC=C4[C@](C)3CC[C@]5([C@](O)=O)[C@]([H])4CC(C)(C)CC5 4373-41-5 1 'E. tenella' 
Febrifugine C1C[C@@H]([C@H](NC1)CC(=O)CN2C=NC3=CC=CC=C3C2=O)O 24159-07-7 1 'E. tenella' 
Cinnamaldehyde c1ccc(cc1)/C=C/C=O 14371-10-9 1 'E.tenella, E.acervulina and E.maxima' 
Acemannan CC(=O)N[C@H]1[C@H]([C@@H]([C@H](O[C@@H]1O[C@@H]2[C@H](O[C@@H]([C@H]([C@H]2OC(=O)C)O)O[C@@H]3[C@H](O[C@@H]([C@H]([C@H]3OC(=O)C)O)O[C@@H]4[C@H](O[C@@H]([C@H]([C@H]4OC(=O)C)O)OC)CO)CO)CO)CO)O[C@@H]5[C@H]([C@H]([C@@H]([C@H](O5)CO)O[C@@H]6[C@H]([C@H]([C@@H]([C@H](O6)C(=O)[O-])O[C@@H]7[C@H]([C@H]([C@@H]([C@H](O7)CO)O[C@@H]8[C@H]([C@H]([C@@H]([C@H](O8)CO)OC)OC(=O)C)O)OC(=O)C)O)OC(=O)C)O)OC(=O)C)O)O 110042-95-0 1 'Eimeria spp' 
'Tannin (pedunculagin)' C1C2C(C3C(C(O2)O)OC(=O)C4=CC(=C(C(=C4C5=C(C(=C(C=C5C(=O)O3)O)O)O)O)O)O)OC(=O)C6=CC(=C(C(=C6C7=C(C(=C(C=C7C(=O)O1)O)O)O)O)O)O 7045-42-3 1 'Eimeria spp' 
'Chicoric acid' O=C(O)[C@H](OC(=O)\C=C\c1ccc(O)c(O)c1)[C@@H](OC(=O)\C=C\c2cc(O)c(O)cc2)C(=O)O ‎6537-80-0 1 'Eimeria spp' 
γ-tocopherol CC1=C(C=C2CC[C@@](OC2=C1C)(C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O 54-28-4 1  
Betaine C[N+](C)(C)CC(=O)[O-] 107-43-7 1  
cineole C[C@@]12CC[C@@H](CC1)C(C)(C)O2 470-82-6 1  
carveol C1(CC(C(=CC1)C)O)C(=C)C '
99-48-9' 1  
papain C1=C(NC=N1)CC(C(=O)O)NC(=O)CCN 305-84-0 1  
galactromannans C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)OC[C@@H]2[C@H]([C@@H]([C@@H]([C@@H](O2)O)O)O)O[C@H]3[C@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O)O)O 11078-30-1 1  
Aklomide C1=CC(=C(C=C1[N+](=O)[O-])Cl)C(=O)N 3011-89-0 1  
Amprolium CCCC1=NC=C(C(=N1)N)C[N+]2=CC=CC=C2C  1  
Amquinate CCCC1=C(C=C2C(=C1)C(=O)C(=CN2)C(=O)OC)N(CC)CC 17230-85-2 1  
Arprinocid c12n(Cc3c(cccc3Cl)F)cnc1c(ncn2)N 55779-18-5 1  
'Bay g 7183' Cn3c(=O)[nH]c(=O)n(c2cc(Cl)c(Oc1ccc(S(=O)(=O)C(F)(F)F)cc1)c(Cl)c2)c3=O  1  
Beclotiamine CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCCl.[Cl-] 13471-78-8 1  
Bitipazone CC(=NNC(=S)NCCN1CCCCC1)C(=NNC(=S)NCCN2CCCCC2)C 13456-08-1 1  
Buquinolate c12c(cc(OCC(C)C)c(c2)OCC(C)C)ncc(c1O)C(OCC)=O 03/03/5486 1  
Ciproquinate CCOC(O)c4c[nH]c3cc(OCC1CC1)c(OCC2CC2)cc3c4=O 19485-08-6 1  
Claruzil Clc1ccc(cc1)C(C#N)c3c(Cl)cc(N2/N=C\C(=O)NC2=O)cc3  1  
Clopidol CC1=C(Cl)C(O)=C(Cl)C(C)=N1 2971-90-6 1  
CP-25415 O=C(c1ccc(Cl)cc1)c3ccc(n2ncc(=O)[nH]c2=O)cc3Cl  1  
Decoquinate CCCCCCCCCCOC1=C(C=C2C(=C1)C(=O)C(=CN2)C(=O)OCC)OCC 18507-89-6 1  
Diaveridine COC1=C(C=C(C=C1)CC2=CN=C(N=C2N)N)OC 5355-16-8 1  
Diclazuril C1=CC(=CC=C1C(C#N)C2=C(C=C(C=C2Cl)N3C(=O)NC(=O)C=N3)Cl)Cl 101831-37-2 1  
Dimethialium s1c[n+](c(c1C)C)Cc1c(nc(nc1)C)N '
15659-74-2' 1  
Dinitolmide O=[N+]([O-])c1cc(cc(C(=O)N)c1C)[N+]([O-])=O  1  
Ethopabate CCOC1=C(C=CC(=C1)NC(=O)C)C(=O)OC 59-06-3 1  
Febrifugine c1ccc2c(c1)ncn(CC(C[C@@H]1NCCC[C@H]1O)=O)c2=O 24159-07-7 1  
Glycarbylamide c1(c(C(=O)N)nc[nH]1)C(N)=O 83-39-6 1  
Halofuginone O=C(CN3C=NC2=CC(Br)=C(Cl)C=C2C3=O)C[C@@H]1NCCC[C@H]1O 55837-20-2 1  
Lasalocid O=C(O)c1c(O)c(ccc1CC[C@@H](C)[C@H](O)[C@@H](C(=O)[C@@H]([C@H]3O[C@@]([C@@H]2O[C@H]([C@](O)(CC2)CC)C)(CC)C[C@@H]3C)CC)C)C  1  
Maduramicin O=C(O)C[C@@]1(O)O[C@H]([C@H](OC)[C@@H](OC)[C@@H]1C)[C@H](C)[C@H]7O[C@]6(O[C@](C)([C@@H]5O[C@](C)([C@@H]4O[C@@H]([C@H]2O[C@@](O)(C)[C@H](C)C[C@@H]2C)C[C@@H]4O[C@H]3O[C@@H](C)[C@H](OC)[C@@H](OC)C3)CC5)CC6)C[C@H](O)[C@H]7C 79356-08-4 1  
